wl,n
0.40,1.50029
0.41,1.49875
0.42,1.49752
0.43,1.49640
0.44,1.49560
0.45,1.49443
0.46,1.49358
0.47,1.49249
0.48,1.49161
0.49,1.49089
0.50,1.49021
0.51,1.48946
0.52,1.48876
0.53,1.48788
0.54,1.48759
0.55,1.48703
0.56,1.48639
0.57,1.48587
0.58,1.48539
0.59,1.48503
0.60,1.48432
0.61,1.48417
0.62,1.48345
0.63,1.48306
0.64,1.48291
0.65,1.48223
0.66,1.48230
0.67,1.48203
0.68,1.48196
0.69,1.48160
0.70,1.48098
0.71,1.48097
0.72,1.48072
0.73,1.48033
0.74,1.47958
0.75,1.47977
0.76,1.47934
0.77,1.47913
0.78,1.47847
0.79,1.47860
0.80,1.47824
0.81,1.47800
0.82,1.47860
0.83,1.47868
0.84,1.47781
0.85,1.47850
0.86,1.47831
0.87,1.47817
0.88,1.47791
0.89,1.47790
0.90,1.47769
0.91,1.47765
0.92,1.47744
0.93,1.47741
0.94,1.47716
0.95,1.47711
0.96,1.47703
0.97,1.47693
0.98,1.47671
0.99,1.47663
1.00,1.47668
1.01,1.47661
1.02,1.47666
1.03,1.47480
1.04,1.47489
1.05,1.47487
1.06,1.47483
1.07,1.47465
1.08,1.47471
1.09,1.47460
1.10,1.47462
1.11,1.47469
1.12,1.47487
1.13,1.47473
1.14,1.47395
1.15,1.47355
1.16,1.47411
1.17,1.47403
1.18,1.47423
1.19,1.47407
1.20,1.47387
1.21,1.47304
1.22,1.47307
1.23,1.47284
1.24,1.47324
1.25,1.47321
1.26,1.47335
1.27,1.47376
1.28,1.47282
1.29,1.47294
1.30,1.47227
1.31,1.47283
1.32,1.47268
1.33,1.47237
1.34,1.47264
1.35,1.47253
1.36,1.47257
1.37,1.47267
1.38,1.47211
1.39,1.47205
1.40,1.47216
1.41,1.47212
1.42,1.47238
1.43,1.47199
1.44,1.47177
1.45,1.47218
1.46,1.47171
1.47,1.47183
1.48,1.47228
1.49,1.47180
1.50,1.47161
1.51,1.47123
1.52,1.47153
1.53,1.47123
1.54,1.47142
1.55,1.47173
1.56,1.47117
1.57,1.47119
1.58,1.47160
1.59,1.47086
1.60,1.47101
1.61,1.47100
1.62,1.47054
1.63,1.47121
1.64,1.47092
1.65,1.47106
1.66,1.47091
1.67,1.47053
1.68,1.47080
1.69,1.47122
1.70,1.47077
1.71,1.47061
1.72,1.47022
1.73,1.47045
1.74,1.47037
1.75,1.47063
1.76,1.46976
1.77,1.46997
1.78,1.46999
1.79,1.46979
1.80,1.47008
1.81,1.47058
1.82,1.47041
1.83,1.47017
1.84,1.46921
1.85,1.46995
1.86,1.46930
1.87,1.46961
1.88,1.46940
1.89,1.46962
1.90,1.46936
1.91,1.46988
1.92,1.46957
1.93,1.46950
1.94,1.46925
1.95,1.46861
1.96,1.46898
1.97,1.46925
1.98,1.46912
1.99,1.46904
2.00,1.46937
2.0097,1.45993
2.0190,1.45914
2.0285,1.46173
2.0381,1.46239
2.0478,1.46089
2.0575,1.46005
2.0673,1.46034
2.0773,1.46085
2.0873,1.46377
2.0975,1.46681
2.1077,1.46716
2.1180,1.46714
2.1285,1.46843
2.1390,1.46818
2.1496,1.46639
2.1568,1.46565
2.1676,1.46412
2.1785,1.46385
2.1896,1.46642
2.1970,1.46709
2.2082,1.46738
2.2196,1.46875
2.2272,1.46883
2.2387,1.46814
2.2465,1.46723
2.2582,1.46572
2.2661,1.46655
2.2781,1.46770
2.2861,1.46723
2.2983,1.46619
2.3065,1.46614
2.3188,1.46679
2.3272,1.46796
2.3398,1.46798
2.3482,1.46708
2.3568,1.46696
2.3697,1.46732
2.3784,1.46808
2.3872,1.46974
2.3960,1.47063
2.4093,1.46856
2.4183,1.46800
2.4274,1.46839
2.4365,1.46858
2.4457,1.46679
2.4596,1.46620
2.4690,1.46755
2.4784,1.46864
2.4880,1.46882
2.4975,1.46695
2.5072,1.46583
2.5169,1.46580
2.5268,1.46612
2.5366,1.46805
2.5466,1.46942
2.5567,1.46876
2.5668,1.46766
2.5770,1.46683
2.5873,1.46615
2.5976,1.46581
2.6081,1.46627
2.6186,1.46686
2.6293,1.46644
2.6400,1.46636
2.6454,1.46679
2.6562,1.46669
2.6671,1.46483
2.6782,1.46383
2.6893,1.46440
2.6949,1.46460
2.7061,1.46539
2.7175,1.46683
2.7289,1.46697
2.7347,1.46668
2.7462,1.46552
2.7579,1.46574
2.7697,1.46745
2.7756,1.46763
2.7876,1.46672
2.7996,1.46537
2.8057,1.46494
2.8179,1.46451
2.8240,1.46484
2.8364,1.46659
2.8489,1.46689
2.8551,1.46650
2.8678,1.46563
2.8741,1.46500
2.8869,1.46319
2.8998,1.46203
2.9063,1.46195
2.9194,1.46301
2.9260,1.46388
2.9393,1.46534
2.9460,1.46554
2.9594,1.46605
2.9662,1.46565
2.9798,1.46421
2.9867,1.46338
2.9936,1.46244
3.0075,1.46110
3.0145,1.46121
3.0286,1.46150
3.0357,1.46210
3.0499,1.46219
3.0571,1.46222
3.0644,1.46249
3.0789,1.46294
3.0863,1.46312
3.0936,1.46318
3.1085,1.46273
3.1159,1.46233
3.1234,1.46212
3.1386,1.46233
3.1462,1.46284
3.1538,1.46236
3.1693,1.45969
3.1770,1.45917
3.1848,1.45934
3.1927,1.45938
3.2085,1.45857
3.2164,1.45791
3.2244,1.45699
3.2325,1.45603
3.2487,1.45454
3.2569,1.45332
3.2651,1.45179
3.2733,1.45018
3.2899,1.44773
3.2983,1.44665
3.3067,1.44544
3.3152,1.44523
3.3237,1.44720
3.3322,1.45162
3.3494,1.46059
3.3581,1.46090
3.3668,1.45870
3.3756,1.45835
3.3844,1.46348
3.3933,1.47214
3.4022,1.47839
3.4111,1.48040
3.4292,1.48225
3.4383,1.48271
3.4474,1.48174
3.4566,1.48030
3.4658,1.47951
3.4751,1.47891
3.4845,1.47831
3.4939,1.47727
3.5033,1.47591
3.5128,1.47502
3.5224,1.47511
3.5320,1.47544
3.5416,1.47559
3.5513,1.47546
3.5611,1.47457
3.5709,1.47313
3.5807,1.47174
3.5907,1.47069
3.6006,1.47052
3.6107,1.47086
3.6207,1.47050
3.6309,1.46962
3.6411,1.46913
3.6513,1.46890
3.6617,1.46868
3.6720,1.46835
3.6825,1.46822
3.6930,1.46821
3.7035,1.46816
3.7141,1.46800
3.7248,1.46754
3.7355,1.46731
3.7463,1.46714
3.7572,1.46713
3.7681,1.46691
3.7791,1.46626
3.7901,1.46571
3.8013,1.46532
3.8124,1.46539
3.8237,1.46552
3.8350,1.46562
3.8464,1.46572
3.8578,1.46539
3.8693,1.46529
3.8809,1.46540
3.8926,1.46555
3.9043,1.46527
3.9161,1.46457
3.9280,1.46435
3.9399,1.46441
3.9519,1.46401
3.9640,1.46296
3.9762,1.46218
3.9884,1.46218
4.0007,1.46272
4.0131,1.46294
4.0255,1.46271
4.0381,1.46285
4.0507,1.46299
4.0634,1.46306
4.0762,1.46282
4.0890,1.46240
4.1020,1.46244
4.1150,1.46238
4.1281,1.46223
4.1413,1.46232
4.1546,1.46264
4.1679,1.46232
4.1814,1.46169
4.1949,1.46154
4.2085,1.46154
4.2222,1.46046
4.2360,1.46069
4.2499,1.46084
4.2639,1.45960
4.2780,1.45862
4.2921,1.45681
4.3064,1.45681
4.3208,1.45864
4.3352,1.45904
4.3498,1.45840
4.3644,1.45788
4.3791,1.45761
4.3940,1.45777
4.4089,1.45810
4.4240,1.45807
4.4391,1.45714
4.4544,1.45649
4.4697,1.45693
4.4852,1.45801
4.5008,1.45800
4.5165,1.45696
4.5323,1.45653
4.5482,1.45631
4.5642,1.45598
4.5803,1.45578
4.5965,1.45499
4.6129,1.45416
4.6294,1.45423
4.6460,1.45443
4.6627,1.45416
4.6795,1.45372
4.6965,1.45299
4.7136,1.45226
4.7308,1.45226
4.7481,1.45246
4.7655,1.45170
4.7831,1.45048
4.8008,1.44990
4.8187,1.44983
4.8367,1.44946
4.8548,1.44919
4.8730,1.44969
4.8914,1.44959
4.9100,1.44909
4.9286,1.44907
4.9474,1.44852
4.9664,1.44745
4.9855,1.44646
5.0047,1.44589
5.0241,1.44547
5.0437,1.44504
5.0634,1.44421
5.0832,1.44320
5.1033,1.44302
5.1234,1.44303
5.1438,1.44191
5.1643,1.44083
5.1849,1.43993
5.2057,1.43833
5.2267,1.43751
5.2479,1.43712
5.2692,1.43607
5.2907,1.43417
5.3124,1.43151
5.3343,1.42970
5.3563,1.42899
5.3785,1.42757
5.4009,1.42504
5.4235,1.42167
5.4463,1.41887
5.4693,1.41613
5.4925,1.41305
5.5159,1.40928
5.5394,1.40449
5.5632,1.39876
5.5872,1.39099
5.6114,1.38091
5.6358,1.36577
5.6604,1.34165
5.6852,1.30456
5.7103,1.25009
5.7355,1.23791
5.7610,1.35093
5.7867,1.53866
5.8127,1.65974
5.8389,1.65328
5.8653,1.59795
5.8919,1.55603
5.9188,1.53346
5.9460,1.51987
5.9734,1.50926
6.0011,1.50118
6.0290,1.49435
6.0571,1.48764
6.0856,1.48253
6.1143,1.47884
6.1433,1.47491
6.1725,1.47097
6.2020,1.46765
6.2319,1.46643
6.2620,1.46464
6.2924,1.46087
6.3231,1.45796
6.3541,1.45577
6.3854,1.45217
6.4170,1.44854
6.4489,1.44671
6.4811,1.44350
6.5137,1.43762
6.5466,1.43310
6.5798,1.42853
6.6134,1.42137
6.6473,1.40897
6.6816,1.39643
6.7162,1.40042
6.7512,1.41623
6.7865,1.42566
6.8223,1.42389
6.8583,1.42504
6.8948,1.44056
6.9317,1.46227
6.9690,1.48677
7.0066,1.50018
7.0447,1.48902
7.0832,1.46778
7.1221,1.45338
7.1615,1.44778
7.2013,1.45226
7.2415,1.45885
7.2822,1.45727
7.3233,1.45180
7.3649,1.44754
7.4070,1.44133
7.4496,1.43513
7.4926,1.42887
7.5362,1.42116
7.5803,1.41302
7.6249,1.40311
7.6700,1.39055
7.7156,1.37736
7.7618,1.36279
7.8086,1.35600
7.8559,1.37251
7.9038,1.39429
7.9523,1.39654
8.0014,1.40200
8.0511,1.43148
8.1014,1.46033
8.1524,1.45648
8.2040,1.42126
8.2562,1.37501
8.3091,1.35250
8.3628,1.38616
8.4171,1.43783
8.4721,1.45665
8.5278,1.45144
8.5843,1.44384
8.6415,1.47054
8.6995,1.57107
8.7583,1.67665
8.8179,1.70700
8.8783,1.68709
8.9395,1.65965
9.0016,1.63459
9.0645,1.61331
9.1284,1.59709
9.1931,1.58466
9.2588,1.57410
9.3254,1.56724
9.3930,1.56906
9.4615,1.57283
9.5311,1.56655
